地点名,旭川,帯広,室蘭,函館,秋田,盛岡,山形,仙台,福島,新潟,金沢,富山,長野,宇都宮,福井,前橋,熊谷,水戸,岐阜,名古屋,甲府,銚子,津,静岡,東京,横浜,松江,鳥取,京都,彦根,下関,広島,岡山,神戸,大阪,和歌山,福岡,佐賀,大分,長崎,熊本,鹿児島,松山,高松,徳島
2014,30,32,24,21,11,25,17,15,10,10,8,11,20,12,9,10,7,9,7,6,11,-3,4,-1,2,3,7,7,4,6,-1,3,2,1,2,1,2,4,1,0,3,-7,3,3,-1
2015,25,23,11,11,8,19,14,11,10,7,4,7,18,5,5,4,3,5,6,7,6,-4,-2,-2,4,1,3,4,2,3,-3,3,1,-4,-3,0,-1,1,-3,-2,1,-5,-2,2,-5
2016,26,28,19,16,9,19,13,8,7,5,2,5,14,5,6,7,4,4,3,4,6,-13,-4,-11,0,-4,7,7,0,1,-9,-1,-1,-7,-4,-3,-1,-4,-9,-5,-3,-17,-3,-4,-10
2017,28,26,16,14,11,19,13,9,8,5,3,4,14,5,4,4,4,5,5,4,7,-8,-3,-12,4,-2,3,4,2,4,-9,1,1,-7,-3,-5,-6,-7,-13,-10,-9,-21,-6,-6,-9
2018,32,33,18,20,11,18,21,15,13,11,6,10,19,7,9,6,6,7,9,8,8,1,2,1,9,4,8,9,6,8,2,6,6,2,5,5,2,5,3,3,6,-2,6,4,4
2019,29,26,18,18,8,17,11,8,6,4,-1,7,12,4,3,1,1,2,0,0,0,-9,-6,-15,0,-2,1,1,-3,-4,-8,-1,-1,-8,-7,-6,-7,-7,-7,-6,-10,-17,-3,-5,-9
2020,274,27,13,13,10,18,15,8,7,1,0,3,18,6,3,4,3,4,0,-1,1,-13,-5,-15,3,-4,2,1,0,1,-10,-3,-1,-9,-5,-5,-8,-7,-9,-12,-8,-25,-8,-3,-10
2021,28,29,18,17,13,17,17,7,8,5,3,6,15,7,7,4,2,5,4,3,3,-8,-1,-9,3,-2,8,4,4,4,-2,6,1,-8,-3,-2,-1,-4,-4,-3,-5,-11,0,2,-9
2022,29,30,18,17,12,19,14,7,9,4,6,8,14,10,8,5,5,8,9,6,9,-4,1,-3,7,3,5,8,5,6,-4,5,4,-1,1,0,2,3,-1,-3,2,-5,3,2,0
2023,28,30,15,18,11,18,15,9,11,7,3,7,14,5,7,5,4,5,4,3,6,-8,-1,-6,3,0,4,5,5,4,-6,0,1,-6,-1,-2,-5,-7,-7,-8,-7,-16,-1,-1,-4
2024,34,30,16,17,8,12,10,6,6,2,0,2,9,1,1,0,-3,0,-3,-5,1,-16,-7,-17,-8,-14,-1,0,-3,-2,-13,-5,-4,-13,-10,-12,-13,-14,-14,-14,-14,-27,-9,-7,-13
